Plot,Date sampled,CWD subplot ID,Species code (if possible),Length (m),Endpoint 1 diameter (cm),Midpoint diameter (cm),Endpoint 2 diameter (cm),Decay class of whole piece,Avg diameter (cm),Radius (cm),Volume (cm3),Species + decay class,Density (g cm-3),Mass (kg),Char class (BP17 ONLY),,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,1.26,5.2,5.7,5.5,2,5.5,2.733333333,2957,QURU2,0.5925,1.752241524,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,0.41,6.3,6.2,6.2,2,6.2,3.116666667,1251,QURU2,0.5925,0.741315015,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,0.50,7.2,7.9,10.3,2,8.5,4.233333333,2815,QURU2,0.5925,1.667912119,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,0.43,6.8,7.3,11.9,2,8.7,4.333333333,2537,QURU2,0.5925,1.502971959,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,0.41,6.7,9.1,14.3,2,10.0,5.016666667,3242,QURU2,0.5925,1.920669211,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,3.81,6.4,16.8,22.0,2,15.1,7.533333333,67928,QURU2,0.5925,40.24737608,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,4.05,6.7,9.8,9.0,2,8.5,4.25,22982,QURU2,0.5925,13.61667622,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,2.91,7.4,8.3,10.6,2,8.8,4.383333333,17565,QURU2,0.5925,10.40735126,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,1.35,6.2,6.9,8.0,2,7.0,3.516666667,5245,QURU2,0.5925,3.107666496,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,240,QURU,0.42,5.1,5.1,5.0,2,5.1,2.533333333,847,QURU2,0.5925,0.501732453,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,ACRU,1.82,5.0,5.1,5.0,2,5.0,2.516666667,3621,ACRU2,0.4090,1.481139494,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,PIST,0.31,7.4,5.8,5.4,2,6.2,3.1,936,PIST2,0.3780,0.353774686,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,PIST,0.26,16.5,12.4,10.9,2,13.3,6.633333333,3594,PIST2,0.3780,1.358559501,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,PIST,0.97,6.9,8.8,8.6,2,8.1,4.05,4998,PIST2,0.3780,1.889398008,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,PIST,4.10,9.4,12.9,14.1,2,12.1,6.066666667,47406,PIST2,0.3780,17.91949621,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,PIST,1.67,11.2,16.5,14.9,2,14.2,7.1,26447,PIST2,0.3780,9.997118525,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,PIST,0.35,15.7,15.4,13.5,3,14.9,7.433333333,6076,PIST3,0.2843,1.727277013,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,POGR,0.62,9.8,10.0,12.3,2,10.7,5.35,5575,POGR2,0.3780,2.107370645,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,POGR,1.21,7.6,6.4,5.0,2,6.3,3.166666667,3812,POGR2,0.3780,1.440893041,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,POGR,0.94,7.0,7.8,8.7,2,7.8,3.916666667,4530,POGR2,0.3780,1.712390264,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,POGR,0.30,7.3,5.7,6.1,2,6.4,3.183333333,955,POGR2,0.3780,0.361016591,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,POGR,1.27,6.6,7.1,7.3,2,7.0,3.5,4888,POGR2,0.3780,1.847487387,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,POGR,1.25,5.2,5.1,5.1,2,5.1,2.566666667,2587,POGR2,0.3780,0.977891399,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,POGR,2.95,5.0,7.4,8.4,2,6.9,3.466666667,11138,POGR2,0.3780,4.210055855,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,POGR,0.63,14.2,15.7,16.0,3,15.3,7.65,11583,POGR3,0.2843,3.292988031,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,QURU,1.51,11.9,10.6,14.7,2,12.4,6.2,18235,QURU2,0.5925,10.80434774,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,QURU,0.23,5.0,6.1,5.4,2,5.5,2.75,546,QURU2,0.5925,0.323766158,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,Unknown,0.74,7.0,7.4,5.0,2,6.5,3.233333333,2430,Unknown2,0.4314,1.048486136,2,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,Unknown,0.22,5.1,6.7,6.0,2,5.9,2.966666667,608,Unknown2,0.4314,0.262415932,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,Unknown,0.71,8.7,9.5,9.7,3,9.3,4.65,4823,Unknown3,0.3356,1.618587117,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,0,Unknown,0.40,6.2,6.2,7.6,3,6.7,3.333333333,1396,Unknown3,0.3356,0.468585998,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,1.27,9.5,7.9,5.0,1,7.5,3.733333333,5561,ACRU1,0.5564,3.094099324,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,0.68,6.1,6.1,5.0,2,5.7,2.866666667,1756,ACRU2,0.4090,0.718019909,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,2.10,7.8,7.6,5.4,2,6.9,3.466666667,7929,ACRU2,0.4090,3.242773719,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,0.79,9.9,10.1,7.8,2,9.3,4.633333333,5328,ACRU2,0.4090,2.179151192,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,0.94,10.4,10.4,9.8,2,10.2,5.1,7681,ACRU2,0.4090,3.141531267,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,1.95,9.3,9.0,8.3,2,8.9,4.433333333,12041,ACRU2,0.4090,4.924572829,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,0.78,10.1,8.4,5.0,2,7.8,3.916666667,3759,ACRU2,0.4090,1.537450022,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,4.30,13.1,8.0,5.0,2,8.7,4.35,25562,ACRU2,0.4090,10.45490643,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,3.05,10.0,8.0,5.0,2,7.7,3.833333333,14080,ACRU2,0.4090,5.75872303,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,2.82,11.2,11.8,11.4,2,11.5,5.733333333,29121,ACRU2,0.4090,11.9106832,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,2.25,11.7,11.8,12.0,2,11.8,5.916666667,24745,ACRU2,0.4090,10.12068491,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,2.50,13.3,13.2,12.7,2,13.1,6.533333333,33524,ACRU2,0.4090,13.71143227,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,0.24,13.9,14.4,12.0,2,13.4,6.716666667,3401,ACRU2,0.4090,1.391207832,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,1.30,9.6,10.1,8.6,2,9.4,4.716666667,9086,ACRU2,0.4090,3.716095816,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,0.50,9.0,9.4,7.9,2,8.8,4.383333333,3018,ACRU2,0.4090,1.234389393,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,1.53,8.0,8.2,8.8,2,8.3,4.166666667,8345,ACRU2,0.4090,3.413045894,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,1.41,5.4,6.2,5.4,2,5.7,2.833333333,3556,ACRU2,0.4090,1.454412624,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,1.26,5.6,5.0,6.0,2,5.5,2.766666667,3030,ACRU2,0.4090,1.239245644,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,2.63,5.0,7.0,6.9,2,6.3,3.15,8198,ACRU2,0.4090,3.353127263,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,2.15,6.1,5.0,5.5,2,5.5,2.766666667,5170,ACRU2,0.4090,2.114585822,2,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,1.50,6.7,5.2,5.5,2,5.8,2.9,3963,ACRU2,0.4090,1.620915725,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,ACRU,1.76,7.0,6.1,5.0,2,6.0,3.016666667,5032,ACRU2,0.4090,2.057976909,2,,,,,,,,,,,,,,,
