"LTREB_Tag_2019","LTREB_Tag_2014","Old_Tag","Species","Plot_ID","Outside_Historic_Plot","Measure_Year","Date","Distance","Azimuth","Status","Origin_Year","Years_Standing","DBH","As_Class","AGB","Estimated_Height","Notes"
NA,NA,"141","ACSA","BS34A","N","1949",NA,NA,NA,NA,1879,70,4.1,"N",4.5,NA,NA
NA,NA,"448","ACSA","BS34A","N","1949",NA,NA,NA,NA,1879,70,4.1,"N",4.5,NA,NA
NA,NA,"301","ACSA","BS34A","N","1954",NA,NA,NA,NA,1879,75,4.1,"N",4.5,NA,NA
NA,NA,"313","ACSA","BS34A","N","1954",NA,NA,NA,NA,1879,75,4.1,"N",4.5,NA,NA
NA,NA,"448","ACSA","BS34A","N","1954",NA,NA,NA,NA,1879,75,4.1,"N",4.5,NA,NA
NA,NA,"32A","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"64B","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"153A","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"173C","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"226B","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"328C","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"351A","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"351B","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"379A","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"397B","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
NA,NA,"530A","ACSA","BS34A","N","1982",NA,NA,NA,NA,1879,103,4.1,"N",4.5,NA,NA
