Sort,Plot,Origin year,Common Name,Species code,old tag,LTREB tag,Measure Year,Stand Year,dbh (inches),dbh (cm),AGB (kg),ht
294,BS34A,,Acer saccharum,ACSA,27,,1944,,1.8,4.6,6,
295,BS34A,,Acer saccharum,ACSA,126,,1944,,1.8,4.6,6,
296,BS34A,,Acer saccharum,ACSA,127,,1944,,1.8,4.6,6,
297,BS34A,,Acer saccharum,ACSA,138,,1944,,1.8,4.6,6,
298,BS34A,,Acer saccharum,ACSA,178,,1944,,1.8,4.6,6,
299,BS34A,,Acer saccharum,ACSA,219,,1944,,1.8,4.6,6,
300,BS34A,,Acer saccharum,ACSA,220,,1944,,1.8,4.6,6,
301,BS34A,,Acer saccharum,ACSA,246,,1944,,1.8,4.6,6,
302,BS34A,,Acer saccharum,ACSA,265,,1944,,1.8,4.6,6,
303,BS34A,,Acer saccharum,ACSA,269,,1944,,1.8,4.6,6,
304,BS34A,,Acer saccharum,ACSA,304,,1944,,1.8,4.6,6,
305,BS34A,,Acer saccharum,ACSA,361,,1944,,1.8,4.6,6,
306,BS34A,,Acer saccharum,ACSA,455,,1944,,1.8,4.6,6,
307,BS34A,,Acer saccharum,ACSA,463,,1944,,1.8,4.6,6,
308,BS34A,,Acer saccharum,ACSA,506,,1944,,1.8,4.6,6,
309,BS34A,,Acer saccharum,ACSA,522,,1944,,1.8,4.6,6,
310,BS34A,,Acer saccharum,ACSA,549,,1944,,1.8,4.6,6,
311,BS34A,,Acer saccharum,ACSA,606,,1944,,1.8,4.6,6,
312,BS34A,,Acer saccharum,ACSA,641,,1944,,1.8,4.6,6,
313,BS34A,,Acer saccharum,ACSA,649,,1944,,1.8,4.6,6,
314,BS34A,,Acer saccharum,ACSA,130,,1949,,1.8,4.6,6,
315,BS34A,,Acer saccharum,ACSA,269,,1949,,1.8,4.6,6,
316,BS34A,,Acer saccharum,ACSA,302,,1949,,1.8,4.6,6,
317,BS34A,,Acer saccharum,ACSA,304,,1949,,1.8,4.6,6,
318,BS34A,,Acer saccharum,ACSA,360,,1949,,1.8,4.6,6,
319,BS34A,,Acer saccharum,ACSA,376,,1949,,1.8,4.6,6,
320,BS34A,,Acer saccharum,ACSA,455,,1949,,1.8,4.6,6,
321,BS34A,,Acer saccharum,ACSA,127,,1954,,1.8,4.6,6,
322,BS34A,,Acer saccharum,ACSA,246,,1954,,1.8,4.6,6,
323,BS34A,,Acer saccharum,ACSA,302,,1954,,1.8,4.6,6,
324,BS34A,,Acer saccharum,ACSA,441,,1954,,1.8,4.6,6,
325,BS34A,,Acer saccharum,ACSA,455,,1954,,1.8,4.6,6,
326,BS34A,,Acer saccharum,ACSA,    113A,,1982,,1.8,4.6,6,
327,BS34A,,Acer saccharum,ACSA,    176C,,1982,,1.8,4.6,6,
328,BS34A,,Acer saccharum,ACSA,    186C,,1982,,1.8,4.6,6,
329,BS34A,,Acer saccharum,ACSA,    301A,,1982,,1.8,4.6,6,
330,BS34A,,Acer saccharum,ACSA,    420A,,1982,,1.8,4.6,6,
331,BS34A,,Acer saccharum,ACSA,    456B,,1982,,1.8,4.6,6,
332,BS34A,,Acer saccharum,ACSA,    458A    458B,,1982,,1.8,4.6,6,
