50 YEAR PLOT NO. 5,,,,,,,,,,,,
".1 acre, 66 ft. square",,,,,,,,,,,Actual ,
,,,,,DBH Class in Inches-------------------,,,,,,DBH (in),
SPECIES,X (ft.),X_COORD,Y (ft.),Y_COORD,1938,1945,1951,1955,1973,1979,1991,2001
27,32.44,1917285.44,0.69,828841.69 ,,,,1.0,2.0,,,
27,32.93,1917285.93,24.02,828865.02 ,,0.5,,,,,,
27,33.26,1917286.26,47.85,828888.85 ,1.0,,,,,,,
27,33.36,1917286.36,54.52,828895.52 ,1.0,,,,,,,
27,33.96,1917286.96,58.31,828899.31 ,1.0,,,,,,,
27,34.02,1917287.02,62.30,828903.30 ,,,,0.5,,,,
27,34.22,1917287.22,51.15,828892.15 ,1.0,,,,,,,
27,34.62,1917287.62,16.73,828857.73 ,,,,0.5,1.0,,,
27,34.85,1917287.85,59.33,828900.33 ,1.0,,,,,,,
27,36.07,1917289.07,9.64,828850.64 ,,,0.5,,,,,
27,36.10,1917289.10,9.11,828850.11 ,,,0.5,,,,,
27,36.33,1917289.33,52.54,828893.54 ,,,,1.0,2.0,,,
27,36.47,1917289.47,25.64,828866.64 ,,0.5,,,,,,
27,36.99,1917289.99,43.92,828884.92 ,2.0,,,,,,,
27,36.99,1917289.99,53.16,828894.16 ,,,,,0.5,,,
27,37.55,1917290.55,6.37,828847.37 ,1.0, , , , , ,,
27,38.12,1917291.12,58.15,828899.15 ,2.0,,,,,,,
27,38.35,1917291.35,50.66,828891.66 ,2.0,,,,,,,
27,38.61,1917291.61,7.89,828848.89 ,,,,,3.0,3.0,3.1,
27,39.20,1917292.20,5.38,828846.38 ,5.0,5.0, , , , ,,
27,39.40,1917292.40,17.59,828858.59 ,1.0, , , , , ,,
27,39.93,1917292.93,60.32,828901.32 ,3.0,4.0,5.0,,,,,
27,40.76,1917293.76,8.78,828849.78 ,,,,0.5,,,,
27,40.89,1917293.89,58.71,828899.71 ,0.5,,,,,,,
27,40.95,1917293.95,51.78,828892.78 ,0.5,,,,,,,
27,41.51,1917294.51,11.25,828852.25 ,,,,0.5,,,,
27,41.58,1917294.58,9.44,828850.44 ,,,,0.5,,,,
27,41.58,1917294.58,45.57,828886.57 ,,0.5,,,,,,
27,41.71,1917294.71,35.54,828876.54 ,2.0,,,,,,,
